issn_l,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
0304-3894,2019,1274,29,29,Global
0007-0610,2021,1273,29,23,Global
0257-8972,2019,1272,19,13,Global
0028-3878,2017,1270,106,0,Global
0141-0296,2020,1268,41,41,Global
0378-7753,2019,1268,41,39,Global
0022-1694,2020,1267,10,10,Global
0306-2619,2021,1267,213,213,Global
1744-683X,2020,1267,187,188,Global
1388-2457,2018,1266,20,20,Global
0022-3727,2021,1266,60,144,Global
0196-8904,2019,1262,5,5,Global
0928-4931,2019,1262,13,13,Global
1089-5639,2019,1260,51,1,Global
0363-907X,2020,1260,29,28,Global
0735-6757,2021,1259,44,44,Global
0278-0046,2021,1259,6,23,Global
0730-2312,2019,1258,33,32,Global
0013-9351,2020,1256,86,84,Global
1530-437X,2018,1255,53,18,Global
0021-4922,2017,1254,25,25,Global
2574-0970,2020,1254,81,12,Global
0016-5107,2021,1254,20,19,Global
2155-5435,2019,1253,119,0,Global
1477-0520,2021,1252,109,117,Global
1064-1246,2019,1251,3,4,Global
0920-4105,2021,1248,58,58,Global
1520-5207,2020,1246,137,17,Global
1530-6984,2019,1246,117,2,Global
0022-3727,2017,1245,83,86,Global
1380-7501,2017,1245,28,31,Global
1070-6631,2020,1244,36,1,Global
0007-0963,2018,1243,66,65,Global
1050-4648,2019,1243,17,17,Global
0039-9140,2019,1242,44,20,Global
0021-9150,2020,1241,58,56,Global
0960-7692,2018,1241,12,10,Global
0017-9310,2021,1239,63,64,Global
0022-3727,2018,1239,62,61,Global
0021-9150,2021,1238,66,65,Global
0363-907X,2021,1238,34,32,Global
1364-0321,2021,1237,164,164,Global
0021-9150,2019,1236,45,45,Global
0029-7844,2017,1234,0,0,Global
0026-265X,2020,1233,28,28,Global
0007-0610,2019,1230,1,0,Global
0022-2461,2017,1230,54,56,Global
0144-8617,2019,1230,41,14,Global
2191-4281,2021,1224,23,22,Global
0042-4900,2021,1221,72,75,Global
0029-8018,2020,1220,50,50,Global
0029-7844,2020,1219,38,0,Global
0168-9002,2020,1215,93,92,Global
0044-2771,2018,1215,0,0,Global
0378-4371,2020,1213,8,8,Global
1744-683X,2018,1212,117,117,Global
0022-2860,2018,1211,3,3,Global
1388-6150,2020,1211,86,86,Global
0378-7753,2018,1210,35,34,Global
1520-5207,2019,1210,67,1,Global
2162-237X,2021,1208,15,25,Global
1386-1425,2021,1208,36,37,Global
0022-5223,2017,1207,11,10,Global
0008-6223,2019,1206,24,24,Global
1388-6150,2019,1205,116,116,Global
0301-4797,2018,1200,32,32,Global
1744-683X,2019,1200,135,135,Global
2053-2733,2018,1200,13,13,Global
0920-4105,2019,1199,22,22,Global
1462-0324,2017,1198,41,7,Global
2352-0124,2021,1197,28,28,Global
1530-6984,2020,1193,134,8,Global
0885-8993,2020,1193,25,20,Global
1613-6810,2018,1193,18,17,Global
0257-8972,2020,1192,48,48,Global
1744-683X,2021,1191,224,241,Global
0025-326X,2021,1189,147,146,Global
2212-4403,2017,1188,5,4,Global
0929-6212,2017,1188,17,21,Global
1089-5639,2020,1186,90,12,Global
1530-6984,2017,1185,106,0,Global
0897-4756,2017,1180,94,0,Global
0022-3727,2020,1180,96,125,Global
0018-9545,2021,1179,8,44,Global
0039-9140,2018,1179,34,15,Global
0920-4105,2020,1178,24,24,Global
0167-5273,2021,1176,102,105,Global
0196-8904,2018,1175,19,19,Global
0003-4975,2021,1175,14,14,Global
0038-092X,2020,1173,42,42,Global
0748-7983,2019,1173,13,13,Global
0008-6223,2017,1169,24,24,Global
0026-265X,2021,1168,32,34,Global
1058-4838,2019,1167,301,190,Global
0257-8972,2017,1167,24,9,Global
0040-4039,2017,1166,16,6,Global
1089-5639,2018,1166,33,0,Global
1529-7535,2018,1166,4,0,Global
0378-8741,2021,1164,58,57,Global
