esac_publisher,country_code,cr_year,oa_n,n,has_ta
Oxford University Press,AE,2020,5,50,FALSE
Trans Tech Publications,AE,2020,0,7,FALSE
Trans Tech Publications,AE,2021,0,4,FALSE
Trans Tech Publications,AE,2017,0,6,FALSE
Trans Tech Publications,AE,2019,0,10,FALSE
Trans Tech Publications,AE,2022,0,2,FALSE
Trans Tech Publications,AE,2018,0,6,FALSE
Bristol University Press,AE,2022,1,1,FALSE
American Chemical Society,AE,2017,0,27,FALSE
American Chemical Society,AE,2020,0,39,FALSE
American Chemical Society,AE,2022,14,34,FALSE
American Chemical Society,AE,2021,16,47,FALSE
American Chemical Society,AE,2018,0,28,FALSE
American Chemical Society,AE,2019,0,40,FALSE
American Physical Society,AE,2019,0,6,FALSE
American Physical Society,AE,2018,0,5,FALSE
American Physical Society,AE,2022,0,5,FALSE
American Physical Society,AE,2021,0,11,FALSE
American Physical Society,AE,2020,0,4,FALSE
John Benjamins Publishing,AE,2019,0,1,FALSE
John Benjamins Publishing,AE,2021,0,3,FALSE
John Benjamins Publishing,AE,2022,1,3,FALSE
John Benjamins Publishing,AE,2020,0,2,FALSE
John Benjamins Publishing,AE,2018,0,1,FALSE
Bentham Science Publishers,AE,2020,8,28,FALSE
Bentham Science Publishers,AE,2017,0,3,FALSE
Bentham Science Publishers,AE,2018,0,10,FALSE
Bentham Science Publishers,AE,2022,8,32,FALSE
Bentham Science Publishers,AE,2019,4,14,FALSE
Bentham Science Publishers,AE,2021,20,52,FALSE
Cambridge University Press,AE,2021,4,14,FALSE
Cambridge University Press,AE,2017,0,9,FALSE
Cambridge University Press,AE,2022,4,18,FALSE
Cambridge University Press,AE,2020,2,12,FALSE
Cambridge University Press,AE,2018,0,9,FALSE
Cambridge University Press,AE,2019,0,5,FALSE
Royal Society of Chemistry,AE,2019,0,13,FALSE
Royal Society of Chemistry,AE,2021,3,14,FALSE
Royal Society of Chemistry,AE,2022,1,2,FALSE
Royal Society of Chemistry,AE,2020,1,15,FALSE
Royal Society of Chemistry,AE,2017,0,15,FALSE
Royal Society of Chemistry,AE,2018,0,10,FALSE
Canadian Science Publishing,AE,2021,0,1,FALSE
Canadian Science Publishing,AE,2022,0,2,FALSE
Canadian Science Publishing,AE,2017,0,4,FALSE
Canadian Science Publishing,AE,2020,0,2,FALSE
Canadian Science Publishing,AE,2019,0,2,FALSE
The Electrochemical Society,AE,2022,0,4,FALSE
The Electrochemical Society,AE,2018,0,1,FALSE
