cr_year,issn_l,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2020,0003-1305,3,0,1,2,0,3,Global
2021,0003-1305,5,0,5,2,0,5,Global
2022,0003-1305,6,0,3,3,0,6,Global
2021,0003-1313,2,2,2,0,0,2,Global
2020,0003-1348,4,4,0,0,4,4,Global
2021,0003-1348,17,17,3,4,16,17,Global
2022,0003-1348,19,19,9,1,18,19,Global
2017,0003-150X,1,1,0,0,0,1,Global
2018,0003-150X,4,4,3,3,0,4,Global
2020,0003-1615,1,0,0,0,1,1,Global
2021,0003-1615,7,0,4,1,7,7,Global
2021,0003-1615,1,0,0,0,1,1,Germany
